ID,Review Date,Category,Title,IMDB Rating,RT Critics Rating,Moistmeter Rating,Genre
65,4/18/2018,Movies,Rampage,6.1,51,65,"Action, Adventure, Sci-Fi"
66,4/19/2018,Movies,Truth or Dare,5.2,15,15,"Horror, Mystery, Thriller"
67,4/22/2018,Movies,I Feel Pretty,5.6,35,20,"Comedy, Romance"
68,4/24/2018,Video Games,God of War,,,85,"Action, Adventure, Drama"
69,4/28/2018,Movies,Avengers: Infinity War,8.4,85,88,"Action, Adventure, Sci-Fi"
70,5/10/2018,Movies,Bad Samaritan,6.4,54,70,"Crime, Horror, Thriller"
71,5/19/2018,Movies,Deadpool 2,7.6,84,80,"Action, Adventure, Comedy"
72,5/26/2018,Movies,Solo: A Star Wars Story,6.9,69,80,"Action, Adventure, Sci-Fi"
73,5/31/2018,Video Games,Detroit: Become Human,,,70,Sci-Fi
74,6/9/2018,Movies,Upgrade,7.5,88,95,"Action, Sci-Fi, Thriller"
75,6/13/2018,Video Games,Jurassic World Evolution,,,60,N/A
76,6/16/2018,Movies,Incredibles 2,7.5,93,90,"Animation, Action, Adventure"
77,6/20/2018,Movies,Hereditary,7.3,90,85,"Drama, Horror, Mystery"
78,6/23/2018,Movies,Jurassic World: Fallen Kingdom,6.1,46,65,"Action, Adventure, Sci-Fi"
79,7/7/2018,Movies,The First Purge,5.2,56,30,"Action, Horror, Sci-Fi"
80,7/10/2018,Movies,Ant-Man and the Wasp,7,87,55,"Action, Adventure, Comedy"
81,7/21/2018,Movies,Unfriended: Dark Web,6,60,20,"Horror, Mystery, Thriller"
82,7/29/2018,Video Games,Gene Rain,,,2,N/A
83,7/31/2018,Movies,Teen Titans GO To the Movies,6.7,91,70,"Family, Comedy"
84,8/4/2018,Movies,Mission Impossible: Fallout,7.7,97,80,"Action, Adventure, Thriller"
85,8/12/2018,Movies,Slender Man,3.3,8,15,"Horror, Mystery, Thriller"
86,8/13/2018,Movies,The Meg,5.7,47,45,"Action, Horror, Sci-Fi"
87,8/25/2018,Movies,Happytime Murders,5.5,23,35,"Action, Comedy, Crime"
88,8/28/2018,Movies,A-X-L,5.3,64,30,"Action, Adventure, Drama"
89,9/1/2018,Other,Eminem - Kamikaze,,,60,N/A
90,9/4/2018,Movies,Searching,7.6,92,90,"Drama, Mystery, Thriller"
